type,lat,lon,alt,frq,rng,frq2,id,icao,rwy,name
4,64.28810300,027.72547800,483,10990,18,79.622,KI,EFKI,07,ILS-cat-I
4,63.70530600,023.13708300,83,10930,18,190.624,KK,EFKK,19,ILS-cat-I
4,65.97824200,029.26460000,866,11030,18,132.252,KO,EFKS,12,ILS-cat-I
4,67.71453900,024.83804400,644,11190,18,346.113,KT,EFKT,34,ILS-cat-I
4,63.03258300,027.77420300,323,11030,18,337.190,KU,EFKU,33,ILS-cat-I
4,61.04993100,028.17021100,349,10990,18,66.723,LP,EFLP,06,ILS-cat-I
4,60.11265600,019.88988600,17,11090,18,203.340,MA,EFMA,21,ILS-cat-I
4,61.68326900,027.21929700,329,10950,18,112.640,MI,EFMI,11,ILS-cat-I
4,64.92279700,025.38303900,47,10950,18,121.056,OU,EFOU,12,ILS-cat-II
4,61.46958300,021.77708100,44,10910,18,305.808,PO,EFPO,30,ILS-cat-I
4,66.55153600,025.80510800,632,11170,18,217.135,RO,EFRO,21,ILS-cat-II
4,61.93489700,028.96926400,311,10970,18,125.745,SA,EFSA,12,ILS-cat-I
4,62.69808900,022.81985800,301,11150,18,316.215,IL,EFSI,32,ILS-cat-I
4,61.40672200,023.57199200,390,10970,18,244.396,TP,EFTP,24,ILS-cat-I
4,60.51291700,022.23586900,161,10950,18,264.818,TU,EFTU,26,ILS-cat-I
4,63.03731400,021.77098300,19,10850,18,163.199,VA,EFVA,16,ILS-cat-I
4,62.16516100,027.87980000,286,10910,18,141.706,VR,EFVR,14,ILS-cat-I
4,64.06288100,024.71348300,252,11130,18,335.165,VI,EFYL,33,ILS-cat-I
4,54.64111900,-006.21918100,258,11090,18,161.995,IFT,EGAA,17,ILS-cat-I
4,54.65071400,-006.24096700,206,10990,18,245.014,IAG,EGAA,25,ILS-cat-I
4,54.61070800,-005.88135300,15,10810,18,214.694,IBFH,EGAC,22,ILS-cat-I
4,55.04011700,-007.17667500,22,10830,18,253.082,IEGT,EGAE,26,ILS-cat-I
4,52.44541100,-001.73864400,325,11010,18,145.892,IBIR,EGBB,15,ILS-cat-I
4,52.46671900,-001.76233900,325,11010,18,325.866,IBM,EGBB,33,ILS-cat-I
4,52.37700000,-001.46692800,267,10975,18,47.292,ICTY,EGBE,05,ILS-cat-I
4,52.36335600,-001.49112200,267,10975,18,227.260,ICT,EGBE,23,ILS-cat-I
4,53.36385800,-002.25401400,257,10950,18,51.030,IMM,EGCC,05L,ILS-cat-I
4,53.35151900,-002.27023900,257,11155,18,51.008,IMC,EGCC,05R,ILS-cat-I
4,53.34076400,-002.30180000,257,10950,18,230.978,INN,EGCC,23R,ILS-cat-I
4,53.33360000,-002.16601700,295,10915,18,246.562,IWU,EGCD,25,ILS-cat-I
4,53.46145000,-001.01150800,55,11095,18,197.607,IFNL,EGCN,20,ILS-cat-I
4,51.08837800,-004.16191100,26,10810,18,274.239,CV,EGDC,27,ILS-cat-I
4,51.50548300,-002.00568300,513,10970,18,244.298,ILA,EGDL,24,ILS-cat-I
4,51.14382935,-001.76896501,407,11170,18,230.000,BD,EGDM,23,ILS-cat-I
4,51.39123300,-003.32631900,220,11070,18,116.852,ICDF,EGFF,12,ILS-cat-I
4,51.40198600,-003.36038100,220,11070,18,296.818,ICWA,EGFF,30,ILS-cat-I
4,51.38338900,-002.70056100,622,11015,18,86.398,IBON,EGGD,09,ILS-cat-I
4,51.38199700,-002.73638600,622,11015,18,266.474,IBTS,EGGD,27,ILS-cat-III
4,53.33449700,-002.83095300,77,11175,18,85.614,ILVR,EGGP,09,ILS-cat-I
4,53.33246100,-002.87061100,55,11175,18,265.048,ILQ,EGGP,27,ILS-cat-I
4,51.87774400,-000.35043600,526,10915,18,74.370,ILTN,EGGW,08,ILS-cat-III
4,51.87150600,-000.38651700,526,10915,18,254.349,ILJ,EGGW,26,ILS-cat-III
4,50.42575073,-004.11316681,485,10950,18,302.356,IPLY,EGHD,31,ILS-cat-I
4,50.78340149,-001.82243335,32,11050,18,75.089,IBMH,EGHH,08,ILS-cat-I
4,50.77726746,-001.85938478,33,11050,18,255.406,IBH,EGHH,26,ILS-cat-III
4,50.94206900,-001.36136700,44,11075,18,199.338,ISN,EGHI,20,ILS-cat-I
