icao,latitude,longitude,name
EFAL,62.5544,23.5769,Alavus
SE01,-2.167041,-79.283835,ALBA ELENA
LEAB,38.95285400,-001.86056500,Albacete
WI50,42.71806194,-89.42372945,Albany
YABA,-34.94463296,117.80442935,Albany
KALB,42.75291491,-073.79977211,ALBANY INTL
T23,32.71875,-99.2675,ALBANY MUNI
S12,44.63789844,-123.06145108,ALBANY MUNI
K19,40.2619445,-94.3398595,ALBANY MUNI
YAPK,-13.08794866,131.03942864,ALBANY PARK
SFAB,-52.2052484025,-60.5340676125,Albemarle
LIMG,44.04886630,008.11935900,ALBENGA
SN13,37.65834694,-97.77449528,Albers
1N3,40.97505666,-78.24973612,Albert
LFAQ,49.971529,2.69766,Albert Bray
MA88,42.39008694,-72.93093112,Albert Farms
KOAJ,34.8291585,-77.612142,ALBERT J ELLIS
5Y1,46.035844,-84.4197555,ALBERT J LINDBERG
KAEL,43.68157625,-93.367268,ALBERT LEA MUNI
KSPG,27.76800700,-082.62773900,Albert Whitted
PS52,40.19507694,-78.83279973,Alberter Farms
SSTN,-21.67861111,-48.21194444,Alberto Bertelli
SVMD,8.581969,-71.16139,ALBERTO CARNEVALLI
MUTD,21.79245855,-079.98981895,ALBERTO DELGADO
SKSO,5.6762095,-72.9702945,ALBERTO LLERAS CAMARGO
KFEP,42.2470111666667,-89.5820135,ALBERTUS
LFKA,45.62804100,006.32921100,Albertville
8A0,34.2291095,-86.2557585,ALBERTVILLE MUNI THOMAS J BRUMLIK FLD
4C8,40.9962665,-92.7656905,ALBIA MUNI
YALH,-24.70663341,144.28860822,ALBILBAH
YABS,-27.28130709,120.38929875,Albion Downs
KBVN,41.72838715,-098.05395800,ALBION MUNI
U40,42.39768861,-113.55750695,Albion Municipal
IL86,41.52086833,-89.47898251,Albrecht
IL06,41.64003361,-89.39287223,Albrecht
IL09,41.63142277,-89.40509473,Albrecht 2
MD48,39.47343999,-76.50024278,Albrecht Airstrip
MPMG,8.9733405,-79.555585,ALBROOK MARCOS A GELABERT INTL
KAEG,35.15494100,-106.79525900,Albuquerque Double Eagle II
KABQ,35.04871100,-106.60637500,Albuquerque International Sunport
YMAY,-36.06990400,146.95324200,Albury Airport
LERI,37.95111,-1.230319,ALCANTARILLA
41IL,42.06947027,-89.03343251,Alcock Rla
SIQU,-20.08638889,-51.30888889,Alcoolvare
YALC,-22.80482375,134.40825269,ALCOOTA STN
MS28,31.86877166,-91.13483056,Alcorn State University
UEEA,58.60270818,125.39967492,Aldan
SDWC,-7.360277775,-54.82972222,Aldeia Bau
SDWM,-10.06361111,-52.99666667,Aldeia de Metuktire
SDVU,-7.209722225,-52.90527778,Aldeia Kremoro
SDWJ,-8.72527778,-53.39027778,Aldeia Kubenkroke
SDNV,-9.50388889,-54.01194444,Aldeia Nacepoti
SDNW,-10.78833333,-53.071666675,Aldeia Piaracu
SDOZ,-8.100833335,-58.28444444,Aldeia Pontal
SJBN,-8.166666665,-54.82972222,Aldeia Pykany
YALY,-22.49421336,139.66218087,Alderly
EGJA,49.70874059,-002.21469423,Alderney
08KS,39.03472194,-97.58003195,Alderson
YADR,-26.66490761,150.19289142,ALDERSYDE
YADG,-35.28793060,138.49228558,Aldinga
SSAL,-29.8002777,-55.7630577,Alegrete
SSLT,-29.8126665,-55.8933665,ALEGRETE NOVO
SA19,-33.348611115,-63.73,Alejandro Roca
5A8,59.28256166,-158.6176725,Aleknagik
Z35,59.28092333,-158.59720028,Aleknagik Mission School
LFOF,48.44441900,000.11123900,Alencon Valframbert
SDWQ,-1.91694444,-54.72277778,Alenquer
OSAP,36.180675,37.224357,ALEPPO INTL
CYLT,82.517778,-62.2805555,ALERT
CYAL,50.57737298,-126.91538407,Alert Bay
18TE,32.585193,-95.063925,ALERT FLD
